DELEGADO FRANCISCHINI,PR,SD,98.05
CÍCERO ALMEIDA,AL,PMDB,100.0
MARX BELTRÃO,AL,PMDB,487.58
HÉLIO LEITE,PA,DEM,1637.31
CARMEN ZANOTTO,SC,PPS,860.0
LUCIANA SANTOS,PE,PCdoB,116.25
JOSE STÉDILE,RS,PSB,235.84
ROGÉRIO MARINHO,RN,PSDB,1097.73
ZECA DIRCEU,PR,PT,1535.69
DANILO FORTE,CE,PSB,1500.0
VICENTE ARRUDA,CE,PDT,130.0
JÚLIA MARINHO,PA,PSC,55200.0
MAURO MARIANI,SC,PMDB,120.1
EFRAIM FILHO,PB,DEM,8000.0
FLAVIO NOGUEIRA,PI,PDT,1325.73
DANIEL ALMEIDA,BA,PCdoB,649.58
TADEU ALENCAR,PE,PSB,51.3
JOSÉ NUNES,BA,PSD,64.9
JOÃO MARCELO SOUZA,MA,PMDB,102.1
JOÃO MARCELO SOUZA,MA,PMDB,196.65
MARQUINHO MENDES,RJ,PMDB,80.0
VINICIUS CARVALHO,SP,PRB,42.83
LUCIANO DUCCI,PR,PSB,365.83
EDUARDO CUNHA,RJ,PMDB,92.81
VANDER LOUBET,MS,PT,10.9
ALCEU MOREIRA,RS,PMDB,289.72
CARLOS SAMPAIO,SP,PSDB,1295.79
RONALDO CARLETTO,BA,PP,200.0
TADEU ALENCAR,PE,PSB,100.0
MISAEL VARELLA,MG,DEM,64.73
EDIO LOPES,RR,PR,1081.0
BENJAMIN MARANHÃO,PB,SD,50.0
MOISÉS DINIZ,AC,PCdoB,1500.0
MAJOR OLIMPIO,SP,SD,44.25
VINICIUS CARVALHO,SP,PRB,191.53
LUCIANA SANTOS,PE,PCdoB,50.0
OSMAR SERRAGLIO,PR,PMDB,14800.0
EDUARDO BARBOSA,MG,PSDB,4.0
ZECA DO PT,MS,PT,80.0
WELITON PRADO,MG,PMB,30.0
EZEQUIEL FONSECA,MT,PP,1087.58
JOSÉ REINALDO,MA,PSB,1408.63
LOBBE NETO,SP,PSDB,86.26
BRUNNY,MG,PR,504.0
AFONSO FLORENCE,BA,PT,30000.0
BENEDITA DA SILVA,RJ,PT,191.6
RODRIGO DE CASTRO,MG,PSDB,1.7
VITOR VALIM,CE,PMDB,-10.11
PEDRO FERNANDES,MA,PTB,427.58
MIGUEL LOMBARDI,SP,PR,7.9
LEANDRE,PR,PV,83.0
CHRISTIANE DE SOUZA YARED,PR,PR,9.0
JOÃO GUALBERTO,BA,PSDB,249.17
MARCOS MONTES,MG,PSD,17.1
ZÉ CARLOS,MA,PT,3500.0
BRUNO COVAS,SP,PSDB,210.0
MÁRCIO MARINHO,BA,PRB,137.61
PEDRO UCZAI,SC,PT,500.0
SUBTENENTE GONZAGA,MG,PDT,66.0
DANILO FORTE,CE,PSB,157.01
ANTONIO IMBASSAHY,BA,PSDB,532.75
ROGÉRIO MARINHO,RN,PSDB,310.0
BENEDITA DA SILVA,RJ,PT,21.7
JOÃO FERNANDO COUTINHO,PE,PSB,190.0
ULDURICO JUNIOR,BA,PV,50.37
NELSON MARQUEZELLI,SP,PTB,2000.0
VANDERLEI MACRIS,SP,PSDB,227.68
JULIO LOPES,RJ,PP,65.7
ANTONIO CARLOS MENDES THAME,SP,PV,50.0
MARCOS ROGÉRIO,RO,DEM,211.67
WLADIMIR COSTA,PA,SD,999.33
MARIA DO ROSÁRIO,RS,PT,-546.08
MOEMA GRAMACHO,BA,PT,2.1
LUIS CARLOS HEINZE,RS,PP,57.33
BONIFÁCIO DE ANDRADA,MG,PSDB,68.25
JARBAS VASCONCELOS,PE,PMDB,10.0
EDUARDO DA FONTE,PE,PP,125.0
LÁZARO BOTELHO,TO,PP,591.96
DANIEL COELHO,PE,PSDB,746.0
PAULÃO,AL,PT,419.96
LUIZA ERUNDINA,SP,PSOL,1084.48
SAMUEL MOREIRA,SP,PSDB,978.48
ANTÔNIO JÁCOME,RN,PTN,99.27
JOSÉ FOGAÇA ,RS,PMDB,223.68
PEDRO UCZAI,SC,PT,15.0
POMPEO DE MATTOS,RS,PDT,120.0
ZECA DIRCEU,PR,PT,309.09
MARCIO ALVINO,SP,PR,8.0
VICTOR MENDES,MA,PSD,200.0
OSMAR SERRAGLIO,PR,PMDB,537.06
ROGÉRIO PENINHA MENDONÇA,SC,PMDB,133.38
MARA GABRILLI,SP,PSDB,513.69
WALDENOR PEREIRA,BA,PT,-21.76
CABO DACIOLO,RJ,PTdoB,150.0
AFONSO HAMM,RS,PP,-110.9
CAETANO,BA,PT,609.58
ANA PERUGINI,SP,PT,11.5
BEBETO,BA,PSB,123.76
PAULO PIMENTA,RS,PT,104.2
NEWTON CARDOSO JR,MG,PMDB,200.0
LÁZARO BOTELHO,TO,PP,0.13
JAIR BOLSONARO,RJ,PSC,335.26
VITOR LIPPI,SP,PSDB,513.69
CAETANO,BA,PT,257.3
FRANCISCO FLORIANO,RJ,DEM,15.86
NILSON LEITÃO,MT,PSDB,3000.0
MÁRIO NEGROMONTE JR.,BA,PP,100.0
JOÃO RODRIGUES,SC,PSD,152.0
CHICO D'ANGELO,RJ,PT,43.0
LEÔNIDAS CRISTINO,CE,PDT,21.0
GEORGE HILTON,MG,PROS,4.6
JOÃO CARLOS BACELAR,BA,PR,263.64
ALEX CANZIANI,PR,PTB,133.0
JÔ MORAES,MG,PCdoB,20.0
SUBTENENTE GONZAGA,MG,PDT,7.8
LUIZ COUTO,PB,PT,1494.66
TEREZA CRISTINA,MS,PSB,1100.0
RÔMULO GOUVEIA,PB,PSD,2478.78
CARLOS BEZERRA,MT,PMDB,1992.61
MARCOS ABRÃO,GO,PPS,40.5
HUGO LEAL,RJ,PSB,152.43
MARCIO ALVINO,SP,PR,12.0
SORAYA SANTOS,RJ,PMDB,2152.25
DAVIDSON MAGALHÃES,BA,PCdoB,418.05
SÉRGIO MORAES,RS,PTB,180.02
PAULÃO,AL,PT,69.9
ZECA DO PT,MS,PT,170.03
PEDRO VILELA,AL,PSDB,50.0
LEANDRE,PR,PV,790.68
BONIFÁCIO DE ANDRADA,MG,PSDB,-15.1
INDIO DA COSTA,RJ,PSD,159.32
ROBERTO SALES,RJ,PRB,79.5
VALMIR PRASCIDELLI,SP,PT,282.25
ALCEU MOREIRA,RS,PMDB,44.65
IVAN VALENTE,SP,PSOL,650.69
ADALBERTO CAVALCANTI,PE,PTB,2106.69
ILDON MARQUES,MA,PSB,200.0
RODRIGO MAIA,RJ,DEM,50.0
FABIANO HORTA,RJ,PT,1756.82
ROGÉRIO ROSSO,DF,PSD,28.96
ANTÔNIO JÁCOME,RN,PTN,60.1
JHC,AL,PSB,24.0
ADAIL CARNEIRO,CE,PP,656.79
SILVIO TORRES,SP,PSDB,40.17
MARCOS SOARES,RJ,DEM,990.73
RENATA ABREU,SP,PTN,653.06
EDMILSON RODRIGUES,PA,PSOL,269.06
MÁRIO HERINGER,MG,PDT,5000.0
CELSO JACOB,RJ,PMDB,7500.0
BRUNNY,MG,PR,717.35
FÁBIO FARIA,RN,PSD,-5.54
REGINALDO LOPES,MG,PT,2.09
JORGE CÔRTE REAL,PE,PTB,202.25
SERGIO SOUZA ,PR,PMDB,359.51
CAPITÃO AUGUSTO,SP,PR,44.45
JOÃO CARLOS BACELAR,BA,PR,55.09
VANDER LOUBET,MS,PT,5.1
BETO SALAME,PA,PP,100.0
AFONSO MOTTA,RS,PDT,152.02
MOSES RODRIGUES,CE,PMDB,8.0
FÁBIO SOUSA,GO,PSDB,70.0
ANDRE MOURA,SE,PSC,320.76
MISSIONÁRIO JOSÉ OLIMPIO,SP,DEM,1050.66
TEREZA CRISTINA,MS,PSB,-1012.69
LEÔNIDAS CRISTINO,CE,PDT,100.0
SIMÃO SESSIM,RJ,PP,91.3
RONALDO CARLETTO,BA,PP,131.5
ALTINEU CÔRTES,RJ,PMDB,72.85
PEDRO VILELA,AL,PSDB,132.02
CÍCERO ALMEIDA,AL,PMDB,-322.79
JORGE TADEU MUDALEN,SP,DEM,458.0
MARCUS VICENTE,ES,PP,420.66
LOBBE NETO,SP,PSDB,80.79
MIGUEL LOMBARDI,SP,PR,135.0
BRUNNY,MG,PR,840.0
LEONARDO QUINTÃO,MG,PMDB,60.0
LÁZARO BOTELHO,TO,PP,290.0
PAULO MALUF,SP,PP,150.02
ANA PERUGINI,SP,PT,7.9
MORONI TORGAN,CE,DEM,101.46
GIVALDO CARIMBÃO,AL,PHS,80.0
JOSÉ OTÁVIO GERMANO,RS,PP,181.0
INDIO DA COSTA,RJ,PSD,49.06
CARLOS MELLES,MG,DEM,21.6
PAULO TEIXEIRA,SP,PT,130.0
AFONSO MOTTA,RS,PDT,257.86
ROCHA,AC,PSDB,-961.69
TIA ERON,BA,PRB,245.47
JOSÉ NUNES,BA,PSD,99.95
PAULÃO,AL,PT,63.8
ANGELIM,AC,PT,175.15
ORLANDO SILVA,SP,PCdoB,4337.88
ZENAIDE MAIA,RN,PR,100.0
CELSO MALDANER,SC,PMDB,140.0
ZECA DIRCEU,PR,PT,30.0
PASTOR LUCIANO BRAGA,BA,PMB,540.73
RODRIGO DE CASTRO,MG,PSDB,521.7
CAIO NARCIO,MG,PSDB,6.9
PADRE JOÃO,MG,PT,246.02
MÁRCIO MARINHO,BA,PRB,307.76
ROBERTO DE LUCENA,SP,PV,32.7
IZALCI LUCAS,DF,PSDB,956.1
DÉCIO LIMA,SC,PT,69.0
JOÃO FERNANDO COUTINHO,PE,PSB,84.98
MARCOS SOARES,RJ,DEM,132.87
RAQUEL MUNIZ,MG,PSD,50.01
JÉSSICA SALES,AC,PMDB,9500.0
POMPEO DE MATTOS,RS,PDT,12.0
MARCO TEBALDI,SC,PSDB,130.0
MAX FILHO,ES,PSDB,286.34
CLAUDIO CAJADO,BA,DEM,360.0
LEANDRE,PR,PV,150.0
MARCO TEBALDI,SC,PSDB,90.0
PAULO MAGALHÃES,BA,PSD,122.0
ROBERTO FREIRE,SP,PPS,1378.58
POMPEO DE MATTOS,RS,PDT,6.3
LUIZA ERUNDINA,SP,PSOL,130.0
JUSCELINO FILHO,MA,DEM,309.35
PEDRO FERNANDES,MA,PTB,96.55
LUCIANA SANTOS,PE,PCdoB,126.0
GORETE PEREIRA,CE,PR,11300.0
MIRO TEIXEIRA,RJ,REDE,1097.73
CABO SABINO,CE,PR,22.0
SÁGUAS MORAES,MT,PT,-1318.06
MARIA DO ROSÁRIO,RS,PT,165.0
AFONSO FLORENCE,BA,PT,110.0
RENZO BRAZ,MG,PP,376.79
PAULO ABI-ACKEL,MG,PSDB,100.0
MARCOS ROGÉRIO,RO,DEM,351.4
FERNANDO MONTEIRO,PE,PP,114.7
LUIZ LAURO FILHO,SP,PSB,419.67
ALESSANDRO MOLON,RJ,REDE,15.0
ANDRES SANCHEZ,SP,PT,364.06
BONIFÁCIO DE ANDRADA,MG,PSDB,24.0
AELTON FREITAS,MG,PR,5000.0
RODRIGO DE CASTRO,MG,PSDB,465.46
ADALBERTO CAVALCANTI,PE,PTB,80.0
VINICIUS GURGEL,AP,PR,350.66
VITOR LIPPI,SP,PSDB,16.5
GUILHERME MUSSI,SP,PP,43.94
MAURO PEREIRA,RS,PMDB,50.0
MARCOS ROGÉRIO,RO,DEM,224.45
NILTO TATTO,SP,PT,356.57
DULCE MIRANDA,TO,PMDB,302.25
PAULO FREIRE,SP,PR,251.76
FRANCISCO CHAPADINHA,PA,PTN,1.7
NELSON MARCHEZAN JUNIOR,RS,PSDB,190.76
LOBBE NETO,SP,PSDB,120.0
MARINALDO ROSENDO,PE,PSB,704.63
CAIO NARCIO,MG,PSDB,208.72
EVANDRO ROMAN,PR,PSD,899.92
