Country,Average GDP,Population,Life expectancy
Turks and Caicos Islands,3740.700319583098,51430,79.8
Tuvalu,591.5735780093897,10959,66.5
Uganda,253.77361229671362,38319241,55.4
Ukraine,2060.344277284037,44209733,71.8
United Arab Emirates,6952.646726699999,5927482,77.5
United Kingdom,9523.047657511737,64430428,80.7
United States,12456.335793014086,323995528,79.8
Uruguay,3447.3344969061036,3351016,77.2
Uzbekistan,737.3359173652582,29473614,73.8
Vanuatu,644.9616280788733,277554,73.4
Venezuela,3595.504090078873,30912302,75.8
Western Sahara,0.0,587020,63.0
Vietnam,336.9883525056337,95261021,73.4
Zambia,409.0739310680751,15510711,52.5
Zimbabwe,192.402581115493,14546961,58.0
